symboling,drivewheel,enginelocation,cylindernumber,enginesize,compressionratio,horsepower,citympg,highwaympg
0,rwd,front,four,111,8.5,78,24,29
0,fwd,front,four,90,9.6,70,38,43
0,rwd,front,six,258,8.1,176,15,19
0,rwd,front,six,258,8.1,176,15,19
0,rwd,front,twelve,326,11.5,262,13,17
0,fwd,front,four,122,8.6,84,26,32
0,fwd,front,four,122,8.6,84,26,32
0,fwd,front,four,122,22.7,64,36,42
0,rwd,front,four,140,8,120,19,
0,rwd,front,four,134,22,72,31,39
0,rwd,front,five,183,21.5,123,22,25
0,rwd,front,eight,308,8,184,14,16
0,fwd,front,,120,8.5,97,27,34
0,fwd,front,four,120,8.5,97,27,34
0,fwd,front,six,181,9,152,17,22
0,fwd,front,six,181,9,152,17,22
0,fwd,front,six,181,9,152,19,25
0,rwd,front,four,120,8.4,97,19,24
0,rwd,front,four,152,21,95,28,33
0,rwd,front,four,120,8.4,97,19,24
0,rwd,front,four,152,21,95,25,25
0,rwd,front,four,120,8.4,95,19,24
0,rwd,front,four,152,21,95,28,33
0,rwd,front,four,120,8.4,95,19,24
0,rwd,front,four,152,21,95,25,25
0,rwd,front,four,120,8.4,97,19,24
0,rwd,front,four,152,21,95,28,33
0,rwd,front,four,134,7,142,18,24
0,fwd,front,four,132,8.7,90,23,31
0,fwd,front,four,108,9.5,82,32,37
0,fwd,front,four,108,9.5,82,28,33
0,fwd,front,four,108,9,94,26,32
0,4wd,front,four,108,9,82,24,25
0,4wd,front,four,108,7.7,111,24,29
0,fwd,front,four,108,9,82,28,32
0,fwd,front,four,108,9,94,25,31
0,4wd,front,four,108,9,82,23,29
0,4wd,front,four,108,7.7,111,23,23
0,fwd,front,four,92,9,62,31,37
0,4wd,front,four,92,9,62,27,32
0,4wd,front,four,92,9,62,27,32
0,fwd,front,four,98,9,70,30,37
0,fwd,front,four,98,9,70,30,37
0,fwd,front,four,110,22.5,56,34,36
0,fwd,front,four,110,22.5,56,38,47
0,fwd,front,four,98,9,70,38,47
0,fwd,front,four,98,9,70,28,34
0,fwd,front,four,98,9,70,28,34
0,fwd,front,five,136,8.5,110,19,24
0,fwd,front,four,97,23,68,33,38
0,fwd,front,four,109,9,88,25,31
0,rwd,front,four,120,8.4,95,19,24
0,rwd,front,four,,21,95,28,33
0,rwd,front,four,120,8.4,95,19,24
0,rwd,front,four,152,21,95,25,25
0,rwd,front,four,120,8.4,97,19,24
0,rwd,front,four,152,21,95,28,33
0,rwd,front,four,134,7,142,18,24
0,fwd,front,four,132,8.7,90,23,31
0,fwd,front,four,108,9.5,82,32,37
0,fwd,front,four,108,9,,26,32
0,4wd,front,,108,9,82,24,25
0,4wd,front,four,108,7.7,111,24,29
0,fwd,front,four,108,9,82,28,32
0,fwd,front,four,108,9,94,25,31
0,4wd,front,four,108,9,82,23,29
0,4wd,front,four,108,7.7,111,23,23
0,fwd,front,four,92,9,62,31,37
0,4wd,front,four,92,9,62,27,32
0,4wd,front,four,92,9,62,27,32
0,fwd,rear,four,98,9,70,30,37
0,fwd,front,four,98,9,70,30,37
0,fwd,front,four,110,22.5,56,34,36
0,fwd,front,four,110,22.5,56,38,47
0,fwd,front,four,98,9,70,38,47
0,fwd,front,four,98,9,70,28,34
0,fwd,front,four,98,9,70,28,34
0,fwd,front,five,136,8.5,110,19,24
0,fwd,front,four,97,23,68,33,38
0,fwd,front,four,109,9,88,25,31
0,rwd,front,four,120,8.4,95,19,24
0,rwd,front,four,152,21,95,28,33
0,rwd,front,four,120,8.4,95,19,24
1,rwd,front,six,152,9,154,19,26
1,fwd,front,five,136,8.5,110,19,25
1,fwd,front,five,136,8.5,110,19,25
1,fwd,front,five,131,8.3,140,17,20
1,rwd,front,six,164,9,121,20,25
1,fwd,front,four,90,9.6,70,38,43
1,fwd,front,four,90,9.41,68,37,41
1,fwd,front,four,90,9.4,68,31,38
1,fwd,front,four,98,7.6,102,24,30
1,fwd,front,four,90,9.4,68,31,38
1,fwd,front,four,90,9.4,68,31,38
1,fwd,front,four,90,9.4,68,31,38
1,fwd,front,four,98,7.6,102,24,30
1,fwd,front,four,79,10.1,60,38,42
1,fwd,front,four,92,9.2,76,30,34
1,fwd,front,four,92,9.2,76,30,34
1,fwd,front,four,110,9.1,100,25,31
1,fwd,front,four,90,9.6,70,38,43
1,fwd,front,four,91,9,68,30,31
1,fwd,front,four,91,9,68,31,38
1,fwd,front,four,91,9,68,31,38
1,fwd,front,four,91,9,68,31,38
1,fwd,front,four,91,9,68,31,38
1,fwd,front,four,122,8.6,84,26,32
1,fwd,front,four,122,8.6,84,26,32
1,rwd,front,eight,304,8,184,14,16
1,rwd,front,four,140,8,175,19,24
1,fwd,front,four,98,7.6,102,24,30
1,fwd,front,four,122,8.5,88,25,32
1,fwd,front,four,122,8.5,88,25,32
1,fwd,front,four,110,7.5,116,23,30
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,103,21.9,55,45,50
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,rwd,front,six,181,9,160,19,25
1,fwd,front,four,90,9.4,68,37,41
1,fwd,front,four,98,7.6,102,24,30
1,fwd,front,four,90,9.4,68,31,38
1,fwd,front,four,90,9.4,68,31,38
1,fwd,front,four,98,9.4,68,31,38
1,rwd,front,eight,203,10,288,17,28
1,fwd,front,four,92,9,62,35,39
1,fwd,front,four,92,9,62,31,38
1,fwd,front,four,92,9,62,31,38
1,rwd,front,four,98,9,70,29,34
1,rwd,front,four,98,9,70,29,34
1,rwd,front,four,98,9.4,112,26,29
1,rwd,front,four,98,9.4,112,26,29
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,rwd,front,six,181,9,160,19,25
1,fwd,front,four,90,9.4,68,37,41
1,fwd,front,four,98,7.6,102,24,30
1,fwd,front,four,90,9.4,68,31,38
1,fwd,front,four,90,9.4,68,31,38
1,fwd,front,four,98,9.4,68,31,38
1,rwd,front,six,152,9,154,19,26
1,fwd,front,five,136,8.5,110,19,25
1,fwd,front,five,136,8.5,110,19,25
1,fwd,front,five,131,8.3,140,17,20
1,rwd,front,six,164,9,121,20,25
1,fwd,front,four,90,9.6,70,38,43
1,fwd,front,four,90,9.41,68,37,41
1,fwd,front,four,90,9.4,68,31,38
1,fwd,front,four,98,7.6,102,24,30
1,fwd,front,four,90,9.4,68,31,38
1,fwd,front,four,90,9.4,68,31,38
1,fwd,front,four,90,9.4,68,31,38
1,fwd,front,four,98,7.6,102,24,30
1,fwd,front,four,79,10.1,60,38,42
1,fwd,front,four,92,9.2,76,30,34
1,fwd,front,four,92,9.2,76,30,34
1,fwd,front,four,110,9.1,100,25,31
1,fwd,front,four,90,9.6,70,38,43
1,fwd,front,four,91,9,68,30,31
1,fwd,front,four,91,9,68,31,38
1,fwd,front,four,91,9,68,31,38
1,fwd,front,four,91,9,68,31,38
1,fwd,front,four,91,9,68,31,38
1,fwd,front,four,122,8.6,84,26,32
1,fwd,front,four,122,8.6,84,26,32
1,rwd,front,eight,304,8,184,14,16
1,rwd,front,four,140,8,175,19,24
1,fwd,front,four,98,7.6,102,24,30
1,fwd,front,four,122,8.5,88,25,32
1,fwd,front,four,122,8.5,88,25,32
1,fwd,front,four,110,7.5,116,23,30
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,103,21.9,55,45,50
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,rwd,front,six,181,9,160,19,25
1,fwd,front,four,90,9.4,68,37,41
1,fwd,front,four,98,7.6,102,24,30
1,fwd,front,four,90,9.4,68,31,38
1,fwd,front,four,90,9.4,68,31,38
1,fwd,front,four,98,9.4,68,31,38
1,rwd,front,eight,203,10,288,17,28
1,fwd,front,four,92,9,62,35,39
1,fwd,front,four,92,9,62,31,38
1,fwd,front,four,92,9,62,31,38
1,rwd,front,four,98,9,70,29,34
1,rwd,front,four,98,9,70,29,34
1,rwd,front,four,98,9.4,112,26,29
1,rwd,front,four,98,9.4,112,26,29
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,rwd,front,six,181,9,160,19,25
1,fwd,front,four,90,9.4,68,37,41
1,fwd,front,four,98,7.6,102,24,30
1,fwd,front,four,90,9.4,68,31,38
1,fwd,front,four,90,9.4,68,31,38
1,fwd,front,four,98,9.4,68,31,38
2,fwd,front,four,109,10,102,24,30
2,4wd,front,five,136,8,115,18,22
2,fwd,front,five,136,8.5,110,19,25
2,rwd,front,four,108,8.8,101,23,29
2,fwd,front,three,61,9.5,48,47,53
2,fwd,front,four,92,9.6,58,49,54
2,fwd,front,four,92,9.2,76,31,38
2,rwd,front,four,119,9.2,90,24,29
2,fwd,front,four,92,9.4,68,37,41
2,fwd,front,four,92,9.4,68,31,38
2,fwd,front,four,92,9.4,68,31,38
2,fwd,front,four,97,9.4,69,31,37
2,fwd,front,four,132,8.7,90,23,31
2,fwd,front,four,121,9.3,110,21,28
2,fwd,front,four,121,9.3,110,21,28
2,fwd,front,four,121,9,160,19,26
2,fwd,front,four,97,9,69,31,36
2,fwd,front,four,108,8.7,73,26,31
2,4wd,front,four,108,8.7,73,26,31
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,fwd,front,four,97,23,52,37,46
2,fwd,front,four,109,9,85,27,34
2,fwd,front,four,97,23,52,37,46
2,fwd,front,four,109,9,85,27,34
2,fwd,front,four,109,9,85,27,34
2,fwd,front,four,97,23,68,37,42
2,fwd,front,four,109,10,100,26,32
2,fwd,front,four,132,8.7,90,23,31
2,fwd,front,four,121,9.3,110,21,28
2,fwd,front,four,121,9.3,110,21,28
2,fwd,front,four,121,9,160,19,26
2,fwd,front,four,97,9,69,31,36
2,fwd,front,four,108,8.7,73,26,31
2,4wd,front,four,108,8.7,73,26,31
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,fwd,front,four,97,9.4,69,31,37
2,fwd,front,four,132,8.7,90,23,31
2,fwd,front,four,121,9.3,110,21,28
2,fwd,front,four,121,9.3,110,21,28
2,fwd,front,four,121,9,160,19,26
2,fwd,front,four,97,9,69,31,36
2,fwd,front,four,108,8.7,73,26,31
2,4wd,front,four,108,8.7,73,26,31
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,fwd,front,four,97,23,52,37,46
2,fwd,front,four,109,9,85,27,34
2,fwd,front,four,97,23,52,37,46
2,fwd,front,four,109,9,85,27,34
2,fwd,front,four,109,9,85,27,34
2,fwd,front,four,97,23,68,37,42
2,fwd,front,four,109,10,100,26,32
2,fwd,front,four,97,9.4,69,31,37
2,fwd,front,four,132,8.7,90,23,31
2,fwd,front,four,121,9.3,110,21,28
2,fwd,front,four,121,9.3,110,21,28
2,fwd,front,four,121,9,160,19,26
2,fwd,front,four,97,9,69,31,36
2,fwd,front,four,108,8.7,73,26,31
2,4wd,front,four,108,8.7,73,26,31
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,fwd,front,four,97,23,52,37,46
2,fwd,front,four,109,9,85,27,34
2,fwd,front,four,97,23,52,37,46
2,fwd,front,four,109,9,85,27,34
2,fwd,front,four,109,9,85,27,34
2,fwd,front,four,97,23,68,37,42
2,fwd,front,four,109,10,100,26,32
2,fwd,front,four,109,10,102,24,30
2,4wd,front,five,136,8,115,18,22
2,fwd,front,five,136,8.5,110,19,25
2,rwd,front,four,108,8.8,101,23,29
2,fwd,front,three,61,9.5,48,47,53
2,fwd,front,four,92,9.6,58,49,54
2,fwd,front,four,92,9.2,76,31,38
2,rwd,front,four,119,9.2,90,24,29
2,fwd,front,four,92,9.4,68,37,41
2,fwd,front,four,92,9.4,68,31,38
2,fwd,front,four,92,9.4,68,31,38
2,fwd,front,four,97,9.4,69,31,37
2,fwd,front,four,132,8.7,90,23,31
2,fwd,front,four,121,9.3,110,21,28
2,fwd,front,four,121,9.3,110,21,28
2,fwd,front,four,121,9,160,19,26
2,fwd,front,four,97,9,69,31,36
2,fwd,front,four,108,8.7,73,26,31
2,4wd,front,four,108,8.7,73,26,31
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,fwd,front,four,97,23,52,37,46
2,fwd,front,four,109,9,85,27,34
2,fwd,front,four,97,23,52,37,46
2,fwd,front,four,109,9,85,27,34
2,fwd,front,four,109,9,85,27,34
2,fwd,front,four,97,23,68,37,42
2,fwd,front,four,109,10,100,26,32
2,fwd,front,four,97,9.4,69,31,37
2,fwd,front,four,132,8.7,90,23,31
2,fwd,front,four,121,9.3,110,21,28
2,fwd,front,four,121,9.3,110,21,28
2,fwd,front,four,121,9,160,19,26
2,fwd,front,four,97,9,69,31,36
2,fwd,front,four,108,8.7,73,26,31
2,4wd,front,four,108,8.7,73,26,31
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,fwd,front,four,97,23,52,37,46
2,fwd,front,four,109,9,85,27,34
2,fwd,front,four,97,23,52,37,46
2,fwd,front,four,109,9,85,27,34
2,fwd,front,four,109,9,85,27,34
2,fwd,front,four,97,23,68,37,42
2,fwd,front,four,109,10,100,26,32
2,fwd,front,four,97,9.4,69,31,37
2,fwd,front,four,132,8.7,90,23,31
2,fwd,front,four,121,9.3,110,21,28
2,fwd,front,four,121,9.3,110,21,28
2,fwd,front,four,121,9,160,19,26
2,fwd,front,four,97,9,69,31,36
2,fwd,front,four,108,8.7,73,26,31
2,4wd,front,four,108,8.7,73,26,31
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,rwd,front,four,146,9.3,116,24,30
2,fwd,front,four,97,23,52,37,46
2,fwd,front,four,109,9,85,27,34
2,fwd,front,four,97,23,52,37,46
2,fwd,front,four,109,9,85,27,34
2,fwd,front,four,109,9,85,27,34
2,fwd,front,four,97,23,68,37,42
2,fwd,front,four,109,10,100,26,32
3,rwd,front,four,130,9,111,21,27
3,rwd,front,four,130,9,111,21,27
3,fwd,front,four,156,7,145,19,24
3,rwd,front,two,70,9.4,101,17,23
3,rwd,front,two,70,9.4,101,17,23
3,rwd,front,two,70,9.4,101,17,23
3,rwd,front,two,80,9.4,135,16,23
3,rwd,front,eight,234,8.3,155,16,18
3,fwd,front,four,110,7.5,116,23,30
3,fwd,front,four,122,8.5,88,25,32
